Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11
Thyroid cancer,Goiter,Difficulty breathing,swallowing disorder,Goiter,squamous epithelium,hard to swallow,increased appetite,hot nodules,Lymph node puncture has grass...,Thyroid nodules,
ovarian cancer,menopause,endometrial thickening after menopause,Cachexia,vaginal metastasis,loss of appetite,ascites,exercise-induced amenorrhea,weak,ovarian dysfunction,Rito,Pain
acoustic neuroma,Tremor,ear vestibular imbalance,Papilledema,episodic vertigo,cough,gag reflex,,,,,
small bowel tumors,bowel sounds,intestinal perforation,Same super,low small bowel obstruction,blood in stool,Intestinal cramps,weak,nausea,intussusception,belching,
penile cancer,painful urination,Station doctor,swollen lymph nodes in the groin,urinary fistula,thin,,,,,,
endometrial cancer,menstrual cycle changes,vaginal bleeding,lumbosacral pain,Cachexia,Lower abdominal pain,lower abdominal pain,heavy menstruation,Vaginal discharge is black and watery,endometrial hyperplasia,,
female infertility,Uterine displacement,breast milk,posterior uterus,secondary infertility,Uterine adhesions,Dysmenorrhea,Positive antisperm antibodies,less menstruation,amenorrhea,,
ectopic pregnancy,clammy extremities,abortion,Pale,stomach ache,severe pain,irregular vaginal bleeding,low fever,abdominal pain in early pregnancy,nausea,uterine fossa effusion,
merit blood,endometrial shedding,menstrual bleeding,Station doctor,abortion,puberty work blood,uterine bleeding,Huijing,stomach ache,Late menstruation,Menopause,premenstrual bleeding
menopausal syndrome,menopause,forgetful,persecution delusion,dizziness,hoarse voice,Sweating profusely after sleeping,suspicious,bad temper,Trance,,
ovarian cyst,Lower extremity edema,abdominal mass,ovarian amenorrhea,enlarged ovary,gastrointestinal symptoms,Pleural effusion,ascites,stomach ache,thin,enlarged follicles,
chronic cervicitis,bloody discharge,frequent urination,pelvic heaviness,Dysmenorrhea,nausea,itching,,,,,
Pelvic inflammatory disease,female low back pain,Dysmenorrhea,lower abdominal tenderness,Fallopian tube adhesion,chronic pelvic pain,ovarian cyst,anal swelling,Lumbosacral pain,follicular cyst,,
hydatidiform mole,excessive vaginal bleeding,Station doctor,hyperthyroidism during pregnancy,lower abdominal pain,Abdominal pain during pregnancy...,Menopause,,,,,
placenta previa,anterior uterus,repeated bleeding,drop in blood pressure,Pale,Late pregnancy or labor...,Anemia appearance,placenta previa,abnormal fetal position,Excessive bleeding,,
placental abruption,uterus hard as a plate,Persistent abdominal...,drop in blood pressure,vaginal bleeding,uterine bleeding,Coagulation disorders,stomach ache,Maternal placenta has...,Changes in fetal movement,Uterine tenderness,
congenital absence of vagina,stomach ache,dyspareunia,Station doctor,amenorrhea,,,,,,,
Irregular menstruation,Lower abdominal pain during menstruation,early period,menstrual cycle changes,Lower abdominal pain before and after menstruation,delayed period,heavy menstruation,Menstrual darkening,extended period,heavy menstrual blood clots,Withdrawal bleeding,
Uterine fibroids,intermenstrual bleeding,lower abdominal mass,frequent urination,heavy menstruation,Dysmenorrhea,Huijing,lower abdominal pain,,,,
Endometriosis,secondary infertility,menstrual arrest,heavy menstruation,Dysmenorrhea,,,,,,,
premature baby,Difficulty feeding,powerless,Difficulty breathing,dehydration,Cyanosis,asphyxia,metabolic acidosis,Foot prints,low blood pressure,Kernicterus,
mumps,hyperesthesia,Muscle ache,sore throat,loss of appetite,submandibular gland enlargement,low fever,facial muscle soreness,nausea,Parotid gland swelling,,
hernia,fever,Abdominal pain with nausea and vomiting,Vomit,baby crying,stomach ache,constipate,,,,,
neonatal jaundice,Biliary atresia,Newborn breastfeeding...,Physiological jaundice,Kernicterus,,,,,,,
cataract,Non-vitreous lesions...,white reflection in the pupil,Often foggy vision,Reduced eye adjustment function...,central dark spot enlargement,crooked eyes,burning sensation in the eye,congenital aniridia,Diplopia,lens shrinkage,
corneal disease,Spotted dark gray opacities on the cornea,corneal foreign body,corneal fistula,guttate cornea,corneal epithelial erosion,ciliary congestion,visual impairment,tears,corneal lens adhesion,corneal clouding,
glaucoma,Insomnia,eye pain,Increased scale,Red blood level below the anterior chamber,visual field defect,large cornea,"Chicken Blind or ""Bird Blind""",dizzy,corneal clouding,Elevated intraocular pressure,
Refractive error,fatigue,nervous,visual impairment,vision loss,nausea,change in visual field,,,,,
amblyopia,deprivation amblyopia,organic amblyopia,strabismic amblyopia,Difficulty reading small print and distinguishing colors,Suddenly after drinking heavily...,,,,,,
retinal vein occlusion,spotting,visual field defect,retinal detachment,retinal edema,retinal hemorrhage,Fundus spotting or flame bleeding,fundus changes,,,,
retinal detachment,Pigmented spots,visual field defect,visual impairment,black shadow,uveitis,Metamorphosis,,,,,
Keratoconus,large cornea,myopic astigmatism,retinal detachment,tears,photophobia,conjunctival hyperemia,Conjunctival edema and corneal ulcer,,,,
eyeball rupture,eyeball contusion,Exotropia,Fundus hemorrhages and exudates,vitreous with blood,visual impairment,,,,,,
nosebleed,Nasal ulcer,arterial bleeding,shock,sore nostrils,Coughing up chocolate-colored phlegm,anemia,frontal nasal bleeding,nose picking,nosebleed,,
nasal polyps,Difficulty breathing,secondary infection,frog nose,squamous epithelium,stuffy nose,Pulmonary Fibrosis,There seems to be a runny nose in the nose,purulent discharge,repeated infection,,
deviated septum,crooked nose,Nasal septum to one side or...,hearing loss,Epistaxis,stuffy nose,nosebleed,,,,,
sinusitis,nasal congestion and reflex headache,maxillary sinus cyst,Increased purulent nasal discharge that is difficult to blow out,nasal congestion discharge purulent or...,loss of appetite,early morning or mid-morning headache,dizzy,nausea,Paroxysmal nasal congestion,adenoid hypertrophy,
allergic rhinitis,Pale and edematous nasal mucosa,papules,nasal discharge,nose fire,itching in nasal vestibule,itchy nose,"When lying on the side, it is located on the lower side...",stuffy nose,burning sensation in the nose and throat,asthma,
acute tonsillitis,Throat congestion,Congested hypertrophy of tonsils,Enlarged tonsils,sore throat,loss of appetite,lethargy,Chi Minghua,aversion to cold,Tonsils become smaller and tougher,,
Rosacea,redness chapped nasolabial folds,Nasal cleft,papules,nasal swelling,red nose,nose hair loss,enlarged nose,diffuse flushing of the nose,The tip of the nose is upturned into a saddle shape,,
hemifacial spasm,fatigue,facial tapping sign,Eyelid jump,Eating and crying,Neuralgia,stuffy nose,twitch,can't keep eyes open,,,
chronic tonsillitis,powerless,tonsil congestion,sore throat,drooping uvula,tired,loss of appetite,gray membrane on tonsils,low fever,Tonsils become smaller and tougher,indigestion,
chronic pharyngitis,lymphoid follicular hyperplasia,Throat congestion,sore throat,nausea when brushing teeth,Dizziness,low fever,nausea,Laryngeal follicular hyperplasia,indigestion,mucus in throat,
Jaw cyst,Station doctor,bone cyst,Jaw cyst,facial deformities,jaw joint pain,,,,,,
periodontal disease,Pad redness after molars,periodontal pocket formation,swollen gums,root exposure,loose and falling teeth,bleeding gums,Pustules on the gums,,,,
male infertility,Station doctor,sperm agglutination,spermatozoa,Insufficient blood,Nails are wide and short (wide...,blocked vas deferens,male infertility,dead sperm,Varicocele,poor sperm survival,abnormal sperm
small penis,Station doctor,painful erection,hypospadias,testicular hypoplasia,short penis,,,,,,
premature ejaculation,Tongue coating yellow,white sediment in urine,Anhedonia,weak,Dizziness,dyspareunia,,,,,
AIDS,Hypoxemia,inflamed,fever,diarrhea,HIV infection,night sweat,stomach ache,septicemia,Cyanosis,,
viral hepatitis,Massive hepatocyte necrosis,bleeding tendency,ascites,anxious,liver depression and qi stagnation,weak,hepatic capsule tension,Da San Yang,nausea,proteinuria,
Shingles,earache,deaf,inflamed,recurrent herpes zoster,postherpetic neuralgia,tinnitus,Herpes zoster-like appearance,weak,nausea,Appearance on the tip or wing of the nose...,
tuberculosis,middle lobe fibrous foci,wet rales,nasal tuberculosis,Hemoptysis with cough,extraintestinal tuberculosis,cough,septicemia,low fever,Massive hemoptysis,thin,
arthritis,"Swelling and pain behind the knee,...",limited shoulder mobility,calf fatigue,Pain behind the knee,,,,,,,
Varicose veins,Calf and Ankle Circumference...,Acral ulcer,venous bleeding,varicose ulcer,,,,,,,
Bronchial Asthma,paroxysmal cough,lung hyperinflation,cough frothy mucus phlegm,Wheeze,Chest tightness,Difficulty exhaling,Prolonged breath sounds,Cyanosis,decreased breath sounds,,
heart valve disease,heart murmur,chest tightness,The pinky half-moon of the little finger,tachycardia,heart palpitations,,,,,,
chronic renal insufficiency,water and sodium retention in the body,metabolic acidosis,hematuria,loss of appetite,Azotemia,Renal osteomalacia,dehydration,polyuria,Rito,oliguria,proteinuria
heart disease,heart murmur,"Chest pain with chest tightness, palpitations",patent fossa ovalis,edema,Deficiency of heart and kidney yang,tachycardia,heart palpitations,little finger pain,,,
myelitis,Weakness of limbs,limb numbness,voiding disorder,Difficulty breathing,quadriplegia,hard to swallow,The upper abdomen and lower back have...,waist pain,Lisp,muscle atrophy,
bronchitis,cough,Difficulty exhaling,shortness of breath,respite,cough with wheeze,repeated infection,,,,,
Thyroiditis,Thyroid peroxide...,Goiter,clothing,Thyroid palpable smooth...,goiter after childbirth,heart palpitations,Thyroid nodules,,,,
Thyroid nodules,Bluish complexion,lump under the throat,hoarse voice,Difficulty breathing,vocal cord paralysis,nodules,Thyroid palpable smooth...,asphyxia,goiter after childbirth,,
colon cancer,frequent urination,Cachexia,Fecal pus and blood,Tenesmus,blood in stool,Feeling of incomplete bowel movements,Bloody stools that mix with the stool,,,,
gastritis,"Fever with abdominal pain,...",epigastric discomfort,nausea and vomiting,acid reflux,flatulence,loss of appetite,spit yellow water,Stomach yang deficiency,thin,anorexia,
Gallstone,Intrahepatic bile duct stones,stomach ache,gallbladder dyskinesia,Calcium Bilirubin Stones,Choledocholithiasis,Biliary Motor Dysfunction,cyst,Gallbladder hydrops,Biliary colic,,
pharyngitis,sore throat,fever,hoarse voice,pain swallowing,dry itchy throat,,,,,,
otitis media,Pain behind the ear,earache,fever,persistent dizziness,tinnitus,Ear canal discharge,ear picking bleeding,Nervous tinnitus,,,
dermatitis,sunburn,scales,scab,hookworm dermatitis,,,,,,,
reproductive tract infection,glans itching,Frequent urination with urgency and dysuria,urgency,,,,,,,,
vaginitis,urethral itching,Increased leucorrhea after menopause,painful sex,itching,Chibai vaginal discharge,vaginal adhesions,,,,,
Japanese encephalitis,involuntary movement,sluggish,incontinence,indifferent expression,dementia,twitch,respite,low fever,intestinal paralysis,,
breast tumor,swollen lymph nodes,Painless single breast...,Lactation disorders,nipple discharge,breast pain before period,breast lump,,,,,
acute glomerulonephritis,hematuria,clothing,urine protein,nephrotic syndrome,Dizziness,Anuria,nausea,oliguria,anorexia,proteinuria,
Renal insufficiency,immune nephritis,nausea and vomiting,nephrotic puffy face,urine dark black,Azotemia,weak,dehydration,metabolic acidosis,itching,kidney cold,
Vasculitis,Finger (toe) numbness,Partial skin of extremities...,"Numbness in distal extremities,...",Dorsalis pedis and posterior tibial artery...,Nutritional changes of lower extremity skin,,,,,,
chronic glomerulonephritis,persistent urine protein,Bacterial infections,hematuria,loss of appetite,Increased ESR,urine protein,decreased plasma albumin,Tongue hypertrophy,,,
sexual dysfunction,Physiological atrophy,blood essence,male sexual dysfunction,organic premature ejaculation,ejaculation pain,Xizilong,dyspareunia,,,,
hidden penis,male infertility,male sexual dysfunction,short penis,,,,,,,,
colitis,"Fever with abdominal pain,...",diarrhea,explosive watery diarrhea,Tenesmus,blood in stool,Mucus,constipate,Liqin,Toxic megacolon,,
strabismus,esotropic V sign,Often foggy vision,XV-Phenomena,exotropic A sign,squint suppression,eye fatigue,XA-phenomena,,,,
liver cancer,ascites,Anorexia,Formation of portosystemic collateral circulation,loss of appetite,weak,thin,portosystemic collateral circulation,refractory ascites,liver pain,,
pleurisy,out of breath,chest pain when exhaling,chest pain,Difficulty breathing,persistent fever,Chest tightness,pain in the chest area,chest pain when sneezing,chest pain,,
appendicitis,nausea and vomiting,Guanjue Silver,Increased neutrophils,diffuse periumbilical pain,diarrhea,loss of appetite,persistent fever,constipate,right lower quadrant pain,,
Thyroid Associated Eye Disease,dry eyes,eye shift,Station doctor,inflamed,visual field defect,Ptosis,tears,conjunctival hyperemia,eye swelling,Keratitis,soft tissue swelling
dwarfism,muscular dysplasia,slow growth,Station doctor,,,,,,,,
urinary stones,voiding disorder,hematuria,interruption of urine flow,sudden severe low back pain,"Low back pain with frequent urination, urination...",urinary retention,weak urine,fluctuating urine stream,"One side of the waist and abdomen suddenly ""...",,
essential tremor,involuntary movement,fatigue,postural tremor,Station doctor,old man is slow,ball rolling motion of the hand,muscle fiber tremor,neonatal tremor,resting tremor,,
Cardiovascular diseases,fatigue,syncope,Station doctor,Difficulty breathing,tachycardia,Cardiac syncope,dizziness,,,,
tinnitus,auditory vertigo,tinnitus,pulsatile tinnitus,hearing loss,Conductive tinnitus,dizziness,,,,,
Pulmonary Fibrosis,Hypoxemia,Moist rales,Station doctor,Cyanosis,respiratory failure,out of breath,,,,,
ovulation disorder,Station doctor,vaginal bleeding,hypersexuality,backache,stomach ache,abdominal pain during ovulation,loss of libido,,,,
Gastroesophageal reflux disease,nausea,chronic renal insufficiency,upper gastrointestinal bleeding,hoarse voice,Mucosa damage,hard to swallow,Heartburn,nausea,belching,increased intragastric pressure,
hypertensive cerebral hemorrhage,coma,Station doctor,Cerebellar hemorrhage,confusion,deep coma,deep sensory disturbance,disturbance of consciousness,lobar hemorrhage,increased intracranial pressure,sensory disturbance,
cerebrovascular malformation,coma,intracranial hemorrhage,epilepsy and epileptic seizures,mental retardation,hemiplegia,brain herniation,delayed myelination,,,,
kidney tumor,abdominal mass,fever,weight loss,hematuria,waist pain,urine dark black,,,,,
flat wart,Disharmony of Qi and blood,papules,itching,,,,,,,,
Vitiligo,abnormal pigmentation,pigmented skin lesions,liver qi stagnation,Depigmentation,itching,Facial Vitiligo,,,,,
pituitary adenoma,oculomotor nerve palsy,Sella deformation,Station doctor,no ovulation,diffuse headache,stuffy nose,hypopituitarism,amenorrhea,,,
Pulpitis,toothache,Enamel Erosion,tooth pain,tooth crack,,,,,,,
systemic vasculitis,abnormal liver function,Eosinophilia,hematuria,livedo reticularis,Hypersensitivity inflammation of blood vessels,systemic vasculitis,Increased ESR,Hemoptysis,Hypocomplementemia,,
spinal deformity,HGX,Kyphosis,Physiological curvature of the spine disappears,Angular deformity of the spine,bamboo spine,scoliosis,spinal curvature,,,,
acne,atrophic acne,inflamed,chin acne,acne on forehead,malignant acne,pustular acne,pustular acne,diffuse flushing of the nose,,,
endocrine hypertension,increased aldosterone secretion,Hypokalemia,nausea and vomiting,Hypothyroidism,,,,,,,
alcoholic fatty liver,loss of appetite,weight loss,Excessive accumulation of fat in liver cells,beer belly,weak,right upper quadrant pain,hepatic steatosis,,,,
chronic otitis media,Abnormal cilia of the middle ear and Eustachian tube,deaf,ear pain,hearing loss,ear discharge,Ringworm of external auditory canal,Otogenic Tetanus,aversion to cold,constipate,dizziness,
Infertility,menstrual cycle changes,less semen,breast milk,menstrual edema,blood essence,Dysmenorrhea,Varicocele,stomach ache,endocrine dysfunction,amenorrhea,
lower extremity arteriosclerosis,powerless,increased blood viscosity,The arteries are elongated and twisted in multiple places,tired,Elderly people with leg cramps,tissue necrosis,athlete's foot,hypoesthesia in the frontal area,,,
Varicose veins of lower extremities,Pigmentation on the lower leg...,cold lower limbs,Straight leg ankle extension test positive,Varicose veins,swollen calves,"Heavy lower body movements,...",swelling after standing for a long time,superficial varicose veins of lower extremities,hardening,,
Tourette,nodding sign,twitching of limbs,tic disorder,Like to speak foul language,child blinks frequently,,,,,,
chloasma,abnormal pigmentation,Station doctor,facial spots,Melasma gravidarum,livedo,pregnancy spots,,,,,
congenital choledochal cyst,dull pain,Biliary obstruction,Biliary atresia,diarrhea,stomach ache,nausea,cyst,urine dark black,anorexia,,
Calcific Tendonitis,Difficulty raising upper limbs,severe pain,upper limb weakness,,,,,,,,
bile duct stones,bile duct obstruction,stomach ache,,,,,,,,,
measles,Maculopapular rash,Oral mucosal pigmentation,Pale,runny nose,anxious,fever with rash,low fever,conjunctival hyperemia,convulsions,,
psoriasis,scales,Maculopapular rash,papules,wind papules,itching,,,,,,
ADHD,ADHD,emotional ups and downs,inattention,,,,,,,,
Brain Injury,coma,shock,drop in blood pressure,Headache after head injury,abnormal breathing,Weakened or absent carotid pulse,Heart sound and pulse disappear,white matter demyelination,facial lightning pain,cranial nerve damage,
functional gastrointestinal disease,dark green stool,diarrhea,frequent bowel movements,bloating,vomiting and diarrhea,stomach ache,dizzy,dark stool,depression,,
small bowel vascular malformation,chronic anemia,shock,intestinal vascular malformation,blood in stool,gastrointestinal bleeding,,,,,,
bedsore,itching,abnormal pigmentation,,,,,,,,,
brachial plexus injury,muscle atrophy,brachial plexus involvement,flaccid paralysis of upper extremities,inability to flex the elbow,Moro unresponsive,Yan Penghui,Can't flex or stretch fingers,nerve root injury,sensory disturbance,,
fundus hemorrhage,eye swelling,There are small black dots,visual impairment,black shadow,,,,,,,
Neurodermatitis,Insomnia,back acne,scales,papules,navel itching,itching,Glucose hormone dependence,,,,
eczema,chest pimples,scales,hemorrhagic papules,pustules,Skin folds during pregnancy...,Erysipelas-like appearance,itching,baby fever,,,
eye injury,eyeball contusion,conjunctival hemorrhage,eye pain,Aro pupil,Eyeball piercing,eyelid foreign body,Orbital foreign body,,,,
hives,erythematous multiforme-like rash,Maculopapular rash,swollen lymph nodes,Worm eggs found in feces...,scales,itching,wheal,Yue Jun,Increased urinary histamine excretion,,
erectile dysfunction,painful erection,abnormal penis,penis injury,short penis,Peyronie's,,,,,,
drug rash,Scarlet fever-like rash,papules,pellagra-like rash,,,,,,,,
Seborrheic dermatitis,redness chapped nasolabial folds,scales,Peeling on both sides of the nose,pustules,chest itching,Yellow scabs on baby's scalp,itching,,,,
syphilis,herpes,spotted rash,sore throat,Depigmentation,Yue Jun,The tip of the nose is upturned into a saddle shape,Mucosa rash,,,,
tic disorder,mumbling,Like to speak foul language,tic disorder,Learning Disability,aggressive behavior,learning difficulties,imitate speech,,,,
indigestion,When belching there is spoiled chicken...,loss of appetite,flatulence,epigastric pain,constipate,nausea,greenish stool,belching,,,
anxiety,nervous,panic attack,chest pain,mental disorder,emotional insomnia,neurotic personality,test anxiety,exam syndrome,,,
memory impairment,anterograde amnesia,Station doctor,memory impairment,transient global amnesia,mental disorder,retrograde amnesia,intermittent memory loss,depression,brain organic mental disorder,,
habitual abortion,Vaginal discharge of fragmented tissue,Lower abdominal pain,spontaneous abortion,complete miscarriage,irregular vaginal bleeding,cervical dilation,threatened miscarriage,Inevitable miscarriage or impossible...,,,
schizophrenia,Defiance,Inaudible content...,Paroxysmal laughter,hallucination,Chew and lick lips aimlessly,poor reflex to light,loss of control,Introverted thinking,persecution delusion,imitate speech,
liver cirrhosis ascites,Station doctor,gradually distended abdomen,Diffuse drumming,,,,,,,,
intrauterine adhesions,abortion,amenorrhea,menstrual cycle changes,,,,,,,,
phobia,facial expression phobia,nervous,withdrawal behavior in children,child phobia,scabies fear,fear of place,,,,,
affective disorder,Mechanically repeating around...,mental disorder,delirium,hallucination,paranoid delusions,depression,melancholy,auditory hallucinations,schizotypal personality disorder,,
obsessive compulsive disorder,slow movement in children,,,,,,,,,,
Lumbar Fracture,Thoracolumbar compression fracture,Thoracolumbar injury,severe pain,Thoracic or lumbar spinal cord injury,acute urinary retention,,,,,,
insomnia,intractable insomnia,drowsiness,difficulty falling asleep,hypnagogic hallucinations,Insomnia,sensitive to sound,weak,melancholy,light sleep,,
fundus disease,Fundus hemorrhages and exudates,eyeball tenderness,corneal detachment,Fundus found macular...,Eyeball piercing,fundus abnormalities,retinal artery occlusion,Elevated intraocular pressure,bloodshot eyes,fundus changes,
Endocrine disorders,Physiological obesity,Pigmented spots,menstrual cycle changes,female infertility,moody,breast pain before period,spot acne,menstrual acne,Obvious facial hair,facial fat particles,
Nonunion,motor dysfunction,Guanjue Silver,tibial nonunion,,,,,,,,
depression,sedative poisoning,Defiance,recurrent depression,difficulty thinking,bipolar,Introverted thinking,melancholy,Trauma,self-harming behavior,,
Indirect inguinal hernia in children,shock,Station doctor,Pain or swelling in the hernia area,bowel sounds,stomach ache,Reducible mass in the groin,constipate,stop exhaust,testicular atrophy,enlarged scrotum,
diarrheal disease in children,viral diarrhea,refusal to eat,diarrhea,Pale,Baby brown or dark green...,black lips,stomach ache,anxious,Hypokalemia,,
Metabolic syndrome,Dyslipidemia,proteinuria,abdominal obesity,high blood pressure,,,,,,,
scar,Itchy scar,Scar hyperplasia,scar physique,scarring,scar atrophy sunken,pitted scar,superficial scars,contracture scar,,,
Gallstones,obstructive jaundice,Dai Chao,stomach ache,Biliary colic,,,,,,,
inguinal hernia,Reducible mass in the groin,Pain or swelling in the hernia area,outer thigh pain,,,,,,,,
liver disease,splenomegaly,dark complexion,fatigue,Ascites,liver palm,weak,liver disease face,,,,
cough,paroxysmal cough,,,,,,,,,,
epiretinal membrane,reduced vision,Metamorphosis,visual impairment,Diplopia,,,,,,,
neck and shoulder pain,shoulder pain at night,"Sore neck, shoulders and back on rainy days",Difficulty raising upper limbs,neck and shoulder pain,,,,,,,
proteinuria,proteinuria,hematuria with proteinuria,Edema in late pregnancy,,,,,,,,
atrial septal defect,fatigue,heart failure,Cyanosis,Pulmonary valve area audible...,Double ball sign on angiography,shortness of breath,heart palpitations,,,,
Cervical Precancerous Lesions,increased vaginal discharge,irregular vaginal bleeding,Frequent urination with urgency and dysuria,purulent leucorrhea,,,,,,,
acute enteritis,Weakness of limbs,abdominal tenderness,shock,diarrhea,stomach ache,Mucus,nausea,dehydration,,,
joint pain,Weakness of limbs,,,,,,,,,,
neonatal pneumonia,heart failure,respiratory failure,fever,anxious,moan,low fever,Cyanosis,Shortness of breath,asphyxia,meningitis,
Gallbladder polyps,Guanjue Silver,loss of appetite,Gallbladder wall fibrosis,thinning of the gallbladder wall,gallbladder tenderness,gallbladder dyskinesia,right upper quadrant pain,Biliary colic,,,
spondylosis,Station doctor,memory impairment,loss of appetite,visual impairment,neck and shoulder pain,dizziness,,,,,
eating disorder,anorexia nervosa,gluttony,,,,,,,,,
alcoholic hepatitis,severe jaundice,fever,Liver Qi offends the stomach,Ascites,Liver Qi violates the spleen,ascites,hepatic capsule tension,,,,
atrophic gastritis,pernicious anemia,dull pain,upper gastrointestinal bleeding,bile reflux,Glossitis,chronic gastric bleeding,constipate,thin,belching,Pain,
Uremia,Lower extremity edema,drowsiness,loss of appetite,restless legs syndrome,Breath smells like urine,nail-bone tetralogy,acute hemolytic uremic syndrome,sensory disturbance,,,
Laryngeal tumor,Throat congestion,hoarse voice,Laryngospasm,Difficulty breathing,sore throat,,,,,,
kidney stones,stone,dull pain,urinary retention,Percussion pain in kidney area,kidney crystal,urinary distress,male abdominal pain,tight abdominal muscles,piss waiting,,
Spinal cord injury,Station doctor,spinal shock,spinal cord compression,Involvement of the cauda equina of the spinal cord,spinal cord disease,Thoracic or lumbar spinal cord injury,transverse spinal cord injury,spinal cord infarction,sensory disturbance,,
epilepsy,throbbing headache,Tonic contraction of gastrocnemius...,imitative automatism,Palmprint atd angle big...,Ca influx,Sustained seizures,body shaking sign,Pathological repetition,leg cramps,,
respiratory infection,infectious fever,upper airway catarrh symptoms,recurrent upper respiratory infection,airway obstruction,,,,,,,
spinal fracture,severe pain,spinal bone changes,Spinal Destruction,sensory disturbance,,,,,,,
Trigeminal Neuralgia,Below the top of the ear line to hair...,inflamed,Neuralgia,Myalgia,severe pain,facial muscle spasm,twitch,"vagueness, emotional facial pain",depressed,corneal reflex,
spinal tuberculosis,spinal and extremity deformities,Kyphosis,powerless,Abnormal posture of limbs or trunk,Vertebral tuberculosis,loss of appetite,night sweat,low fever,thin,lumbar spine pain,
Lymphoma,powerless,Congested lymph nodes,Lymph outflow,diarrhea,loss of appetite,hard to swallow,night sweat,stomach ache,thin,tumor hard,
precocious puberty,breast milk,vaginal bleeding,Mental age is greater than biological age,male precocious puberty,Goiter,early pubic hair development,baby blackheads,Hyperparathyroidism,ovarian cyst,female precocious puberty,
macular degeneration,Station doctor,retinal detachment,visual impairment,Central scotoma and flex...,change in visual field,,,,,,
secondary hypertension,Station doctor,high blood pressure,Chest tightness,shortness of breath,Dizziness,heart palpitations,,,,,
macular hole,Often foggy vision,Metamorphosis,change in visual field,,,,,,,,
abdominal aortic aneurysm,dull pain,abdominal mass,abdominal discomfort,Pale,ascites,clothing,stomach ache,nausea,relaxation fever,Renal area tenderness and percussion pain,low blood pressure
Premature ovarian failure,Ovarian atrophy,Hypothyroidism,urinary tract infection,menopausal flush,night sweat,hair loss,constipate,Loss of female secondary sex characteristics,Positive anti-ovarian antibodies,amenorrhea,
"hand, foot and mouth disease",Maculopapular rash,sore throat,erosive blisters,stomach ache,low fever,Mouth pain,anorexia,drooling,,,
Mycoplasma infection,frequent urination,backache,Pain,urgency,,,,,,,
deaf,fluctuating hearing loss,deaf,pathological auditory adaptation,Abnormality of tone and rhythm,hearing loss,Scarring of the tympanic membrane,hearing loss,hearing loss,central deafness,Kind of paranoid,
chronic rhinitis,Ulceration and atrophy of the nasal mucosa,Nasal bleeding,nodules,runny nose,Turbinate hypertrophy,purulent discharge,swelling of the nasal mucosa,,,,
vocal cord polyps,vocal cord hypertrophy,vocal cord atrophy,aphonia,Abnormal breath,vocal cord aging,Difficulty breathing,Throat,glottis short and narrow,rough voice,enlarged larynx,
sudden deafness,earplugs,deaf,compound hearing phenomenon,hearing loss,tinnitus,hearing loss,nausea,dizziness,cochlear deafness,,
Pediatric Nephrotic Syndrome,Ascites,chronic renal insufficiency,Venous thrombosis,Scrotal edema,Hypocalcemia,thin,proteinuria,Hypoalbuminemia,,,
Prepuce,glans itching,glans penis,itchy urethra,pearly papules,,,,,,,
Dyslipidemia,high plasma cholesterol levels,atherosclerosis,,,,,,,,,
Cerebrovascular disease,The corners of the mouth are crooked and unable to speak,blood vessel blockage,Vomit,hard to swallow,disturbance of consciousness,complexity drunk,loss of consciousness,nausea,Lisp,drooling,
Hyperhidrosis,carcinoid syndrome,sweat like oil,Hyperhidrosis,night sweat,severe pain,high sympathetic tension,Gustatory hyperhidrosis of the face and neck,Cyanosis,Yue Jun,muscle atrophy,
adrenal tumor,Weakness of limbs,Often foggy vision,menstrual cycle changes,tired,"Numbness in distal extremities,...",low back pain,Dizziness,amenorrhea,,,
Mole of Ota,PWS,nodules,Pigmented spots,,,,,,,,
hair loss,Cosmetic Hair Damage,scales,Alopecia universalis,hair loss,Blood deficiency and hair loss,tumor alopecia,postpartum hair loss,pathological alopecia,itching,,
malignant tumor,loss of appetite,progressive weight loss,Increased mitotic figures,hard to swallow,Navicular depression,indigestion,,,,,
hand sweating,Armpit hyperhidrosis,sweaty hands and feet,Palmar hyperhidrosis,,,,,,,,
spondylolisthesis,incontinence,Chronic low back pain with lower extremity numbness,radiating pain in lower extremities,Pain in the lower extremities or...,,,,,,,
Massive hemoptysis,Hemoptysis with jaundice,Hemoptysis with chest pain,Hemoptysis with cough,Hemoptysis,Hemoptysis with fever,decreased breath sounds,Hemoptysis with mucocutaneous bleeding,,,,
knee injury,weak knee joint,knee pain,Inner knee swelling...,knee joint effusion,weak legs,swollen knee joint,swollen knee joint,inability to fully straighten the knee,,,
blood in stool,Bleeding red blood in the stool...,dysentery,upper gastrointestinal bleeding,intestinal bleeding,black stool,elderly constipation,Colon polyps,abnormal stool passage,menstrual blood,,
foot fracture,Inability to plantarflex and invert the foot,foot pain,toe pain,Inability to dorsiflex the foot and toes,,,,,,,
Impacted teeth,dental abnormalities,Crowded and misaligned teeth,abnormal tooth eruption,Missing wisdom teeth,,,,,,,
heart disease in pregnancy,doc,chest tightness,Chest tightness,pregnant woman chest tightness shortness of breath,stretch marks,,,,,,
after cataract,bleeding tendency,double vision,visual impairment,pupils turn white,change in visual field,,,,,,
autoimmune liver disease,clothing,Increased ESR,fever with rash,weak,low fever,,,,,,
